id,card_number,expiration_date,cvv
130,5020527164630110394,2029-05,673
131,5100136703954099,2027-09,471
132,5610858425143008574,2028-03,75
133,3587204278475408,2029-03,660
134,6767304672742935031,2027-03,237
135,3533820073783004,2025-03,520
136,4041375895551348,2025-02,837
137,3582228710865236,2026-11,7
138,3555441701221920,2029-04,961
139,374622187608962,2030-05,112
140,341912671793937,2026-05,216
141,5343097771451359,2029-04,978
142,3576349001075455,2026-08,662
143,3577317163968006,2027-03,964
144,67710044372483667,2028-04,207
145,5100142327678676,2028-04,296
146,4917222917154365,2025-12,111
147,3543186612280995,2029-02,882
148,3577835271954758,2027-10,395
149,4905582862298549,2026-11,787
150,3534268250330729,2029-12,453
151,4917531893954535,2026-09,12
152,56022138784144507,2027-03,154
153,4903902108769564841,2029-06,239
154,3587963019316391,2027-10,373
155,3554922794605617,2024-12,516
156,3588450212118575,2026-02,909
157,5641827683380927,2030-07,655
158,3575724357124282,2030-10,709
159,3586239719516692,2027-06,378
160,201708982825551,2028-09,342
161,5171561068680514,2027-03,968
162,4041377506126,2025-03,378
163,5610341700339350,2027-08,952
164,3581491429694906,2026-08,254
165,6767111985708113531,2029-04,916
166,5002354779178456,2025-04,195
167,30356191148154,2029-04,935
168,6384824028464879,2024-12,196
169,5588633666861775,2028-02,711
170,6396558057392942,2027-06,228
171,3550596860805238,2028-06,336
172,30233324939454,2028-05,831
173,670647123968222934,2028-12,626
174,3576798244464696,2027-10,106
175,5602252484221179,2028-05,79
176,3560603360661760,2026-11,398
177,5602259358526245,2029-11,656
178,3537901172393212,2028-11,704
179,3570424129718942,2029-02,228
180,3544003540205755,2029-01,325
181,3558976411946081,2027-04,325
182,337941302658736,2027-02,698
183,6762497077085549,2030-07,712
184,3573970309221005,2029-08,638
185,379523629818224,2030-06,828
186,6706367810722704223,2030-02,835
187,5048377873199504,2027-04,600
188,3562626770273510,2027-06,157
189,3573421040766668,2030-01,853
190,3556528112460805,2030-08,705
191,5602238242708128,2025-10,946
192,3566998051435142,2028-10,244
193,4913301862029261,2026-10,864
194,4913778899675705,2025-12,461
195,5310852678292135,2025-04,633
196,4041592452155,2028-09,54
197,3534418304867776,2025-11,706
198,3554365574043783,2026-10,231
199,5610869215160135,2027-06,629
200,3541708642889008,2025-07,33
201,3574697351041192,2030-03,168
202,6767407218873997,2027-09,541
203,4097081799376005,2029-09,953
204,5454328873196054,2026-12,104
205,5007664676306165,2026-01,605
206,374288575891782,2025-02,71
207,3543812417595242,2026-06,521
208,3581493065982074,2028-03,51
209,6759775570894656,2025-09,260
210,6334316343118794155,2027-06,663
211,503828966128897670,2026-02,538
212,3545303609155977,2025-05,816
213,3555196566552583,2027-08,505
214,676245663563967857,2024-12,584
215,3589588406889839,2026-09,158
216,3545859076064943,2029-09,162
217,490307557057010383,2027-08,257
218,4026930005123179,2027-06,736
219,3556005303333760,2025-12,191
220,6382441363040677,2030-07,746
221,5195909481510754,2028-08,340
222,5602232383693604199,2027-09,197
223,4508559141316418,2027-03,673
224,4175000153166658,2027-10,513
225,3567383042611847,2026-01,416
226,5148384006144323,2025-01,374
227,5610773480924127517,2028-07,911
228,3529976852791125,2027-06,562
229,372301878485459,2029-07,405
230,5438415170921770,2028-07,852
231,5602217341189182,2029-11,122
232,3587939234574006,2028-11,946
233,3542486612626382,2028-09,793
234,5336110513961475,2029-02,649
235,6767618112348437,2027-05,375
236,5454886695524357,2027-03,841
237,3532770810157395,2028-06,167
238,3577909569028466,2030-02,936
239,5602252171824624,2028-02,913
240,675985409236800604,2027-03,992
241,3570241395390101,2026-10,565
242,3571696380785749,2025-10,447
243,337941936071884,2024-12,793
244,676301834772121336,2026-02,132
245,5048370147651426,2027-08,202
246,201874736660213,2027-01,352
247,374288326460408,2028-10,472
248,6706943266111523257,2028-05,141
249,3561140863261060,2027-03,409
250,3583087639294673,2029-09,178
251,5100148159642326,2029-05,698
252,63043169737477265,2025-05,995
253,670646577162080227,2026-05,619
254,5007661632585783,2029-10,789
255,3569528780666787,2030-02,883
256,201512030077698,2025-09,381
257,5048370113245906,2027-05,551
258,5489469014476812,2028-09,394
259,201508636073297,2029-11,737
260,3584859887492137,2030-08,736
261,5100136506882182,2026-05,885
262,3568942216498460,2028-02,41
263,3531181848374336,2029-06,271
264,5108755992976745,2027-12,432
265,561006474971392057,2029-04,995
266,3564786684736784,2027-04,406
267,3575287835157605,2029-09,979
268,4017957550809,2024-12,569
269,3584083120822188,2028-07,146
270,5602257035049326,2030-04,946
271,5007668468557026,2027-10,389
272,3576872441876802,2028-12,168
273,3582016993056387,2028-10,572
274,5020193048193317285,2029-10,333
275,3541675220916703,2025-04,290
276,3577217371927663,2028-09,106
277,3583150075339244,2025-08,849
278,6762710965783070778,2029-08,112
279,3542861311707099,2028-03,177
280,5602244950875333049,2026-09,899
281,3579860454782220,2026-09,411
282,3534132531342509,2029-11,687
283,4508161500053391,2029-02,577
284,3532398239648677,2028-12,744
285,50380963779245756,2030-08,461
286,4026990788427460,2025-07,177
287,3543724161476661,2027-07,5
288,3577664414939892,2027-10,110
289,5458206971591978,2030-07,454
290,36937025803587,2028-11,557
291,337941066659847,2025-02,131
292,5157057764940979,2027-05,911
293,3554672859407009,2028-09,79
294,3556673800225027,2027-10,614
295,201774965592451,2029-04,924
296,3581657506463338,2025-09,340
297,4175008500098987,2026-03,692
298,5602231233395278,2030-01,904
299,3564225962517293,2026-05,116
300,3562277880494875,2028-09,5
301,3585030705287286,2030-02,620
302,6334678383281911782,2029-01,510
303,6378788645793374,2028-07,701
304,3551739275083863,2025-04,566
305,676174380001869117,2024-12,37
306,3564915758260054,2025-03,622
307,201603093647475,2025-06,620
308,5602254336274083,2024-12,550
309,4913664372896267,2029-01,156
310,3555849369201630,2027-05,308
311,5296975853209984,2029-07,727
312,6386196047362691,2028-01,748
313,3545914301949531,2025-07,652
314,3549478696419720,2029-09,171
315,4917563108304917,2030-04,176
316,3569493433308727,2028-11,348
317,3540025416284329,2028-10,82
318,5100141706517943,2027-01,668
319,3571602593611490,2025-01,453
320,3555199802056732,2027-10,813
321,3536238509165414,2029-01,334
322,3565601653985180,2029-02,743
323,6333105845903908755,2026-09,886
324,3570840884195093,2025-08,957
325,3589175791260394,2028-08,982
326,3535493634101393,2026-01,22
327,3563172170533459,2025-03,215
328,201695280967427,2026-03,19
329,3559142793961060,2028-04,431
330,630430261736173669,2030-05,437
331,50186439628365265,2030-03,585
332,3584115851655591,2028-06,16
333,5602213202147336,2026-04,830
334,5602242702039412,2027-08,873
335,4905860636187309626,2026-06,657
336,3555640866501816,2024-12,705
337,4041372973479,2026-06,142
338,3530760934402183,2030-09,465
339,564182360853490681,2024-12,918
340,30268235137202,2025-10,710
341,3566304065081610,2029-05,720
342,3537192222620982,2027-02,235
343,5389372887047564,2025-06,591
344,5530400502361124,2030-06,316
345,4017951895485941,2026-11,105
346,3546218871146422,2028-04,604
347,67063308894552413,2030-09,836
348,633446541877624836,2026-03,696
349,30003841518382,2029-11,934
350,36739640106747,2030-04,390
351,56022429267199807,2029-04,627
352,3562235008697704,2030-01,991
353,5602255523775279,2030-04,187
354,3559810070553582,2028-12,862
355,5128471696770394,2027-02,42
356,6767944521987328954,2028-06,793
357,5610775423110822,2026-11,104
358,3568988471524771,2027-02,75
359,373322462219962,2030-01,373
360,67097708585197891,2028-08,829
361,3585852935813593,2030-08,212
362,67634980036384556,2028-01,102
363,3567420026163674,2027-10,360
364,3584623409100010,2025-08,739
365,3572040933044008,2027-06,5
366,3572459076689983,2026-09,573
367,6759783221126320,2025-12,13
368,3559723609541194,2025-05,75
369,3573019537855166,2029-04,901
370,4936504766113779076,2027-03,33
371,3574141685225452,2030-05,355
372,5007665563928680,2027-07,112
373,4936914950357477167,2028-06,906
374,4175000751837122,2027-02,624
375,3546694549081953,2026-08,512
376,4936372262286804,2030-06,615
377,3559682673791533,2028-03,349
378,5110313561637631,2026-10,14
379,5018624582030876,2029-06,744
380,3576693901226951,2026-06,628
381,3545824373081412,2030-02,912
382,6771792076910868316,2025-02,889
383,3588982737009756,2025-06,292
384,3555052563496755,2028-07,641
385,36656529544519,2027-12,984
386,5002350777234994,2030-03,405
387,5300496053937971,2024-11,594
388,3589323469602105,2029-12,614
389,5602254614411720,2026-07,218
390,3564554193349451,2029-10,600
391,6759211130154537372,2025-10,614
392,3570707045665704,2026-11,422
393,4903691479446995,2028-06,585
394,374288237543102,2025-11,114
395,4175005405647579,2030-07,626
396,4508115194382359,2030-02,457
397,5108752566978678,2027-05,855
398,3543004899417976,2028-04,887
399,30530026697797,2030-08,643
400,4844269593838207,2030-08,939
401,4941172920998672,2029-03,769
402,560224749123295466,2030-04,770
403,4917505193000306,2026-09,935
404,36357125839581,2024-11,494
405,6331101516971614,2029-10,989
406,3568855484389031,2028-10,472
407,5602217474090074,2026-09,519
408,3528788437097964,2030-02,6
409,3575403167758627,2027-11,88
410,5602229955575820,2025-08,954
411,56022543913228495,2029-03,684
412,6372454272930591,2029-10,650
413,0604128552826207,2028-10,54
414,4026175701673271,2026-10,852
415,0604762717748623,2029-07,982
416,30564185052643,2027-09,216
417,50187437901769392,2027-11,755
418,676330628566201949,2027-12,683
419,6762901011019431,2028-04,247
420,6304884040838226,2025-07,447
421,3531616294745711,2026-01,744
422,3556417989434772,2030-04,681
423,3532500727370124,2027-03,333
424,490394321314737013,2025-12,790
425,5010128761017967,2028-07,467
426,3540418794690342,2030-06,994
427,5100132766193055,2030-06,690
428,30547344506153,2030-04,490
429,4936268337876209176,2029-12,620
430,3528002448121528,2028-10,462
431,3578753276881463,2024-12,302
432,3547375612890061,2027-01,364
433,3558687074872999,2026-02,826
434,3575017499429473,2028-11,519
435,5108757873370550,2028-01,650
436,30261796514828,2027-04,208
437,6762868453316039164,2027-12,757
438,3572974078250444,2028-06,999
439,0604525068652227,2026-10,780
440,503805734761449382,2030-07,737
441,5100144761421464,2026-06,488
442,349627556697639,2028-08,515
443,6762610159067287453,2028-11,866
444,201559396249288,2030-09,329
445,201822344406586,2027-11,11
446,5186261060852673,2025-07,521
447,3533105506022216,2028-06,435
448,56022258873557714,2026-05,957
449,4913230185520963,2025-11,173
450,670904545171093934,2030-08,846
451,373898583189549,2025-11,885
452,5100136965722218,2030-02,626
453,36343335488336,2029-08,220
454,5100149314462279,2027-10,543
455,3585054033721253,2026-02,322
456,3555997988291050,2025-10,578
457,5602239602803749,2026-02,594
458,3529999882243495,2030-05,168
459,3535702519976889,2027-07,778
460,30136205804707,2025-04,399
461,201713320716744,2026-11,480
462,4844081373196189,2029-02,69
463,3576870751506647,2029-05,374
464,3578509817957802,2029-11,158
465,6763527905435862843,2028-12,396
466,3573434120139144,2027-08,116
467,30435353884572,2030-02,225
468,3528354012895395,2029-01,329
469,5443465268649166,2025-11,197
470,675908422938512082,2028-02,853
471,5602253265754689736,2028-12,15
472,3562607298615010,2027-09,245
473,4913865972615243,2025-02,561
474,5610282657247446,2026-11,160
475,3575558005183559,2027-08,603
476,3589272366234555,2029-03,885
477,374288225073484,2025-05,327
478,5416940491227744,2030-06,581
479,3574109043728574,2028-09,385
480,5213120634019952,2027-12,608
481,3532365767871138,2029-09,129
482,201928093321924,2029-05,56
483,5100143029920101,2024-12,812
484,3536611354749294,2028-02,595
485,56022124696075997,2025-09,220
486,630446471751693036,2030-06,228
487,3579308291277665,2029-12,918
488,5269970120140032,2025-09,282
489,201573084345290,2025-05,405
490,3582451430664669,2030-08,100
491,378699048959376,2025-05,858
492,5602222987316941,2025-05,225
493,36837288630067,2027-03,275
494,3536235857444490,2028-07,339
495,3546840351597541,2028-10,28
496,3535616317423433,2030-04,865
497,3573879989239791,2024-11,660
498,5560245876329287,2030-05,500
499,5602228163979246,2025-01,663
500,3581902088687619,2026-04,837
501,30175298959754,2028-09,414
502,3540638148080060,2029-08,294
503,30158510854417,2028-05,655
504,4392376296189,2026-01,568
505,6386854409175412,2030-06,314
506,3551204482947335,2027-08,424
507,5100135126773052,2027-02,989
508,560223254902529038,2028-10,510
509,3574940379495085,2025-04,182
510,0604176214477125,2028-03,475
511,201751376614835,2028-12,764
512,4508383554712769,2027-10,45
513,5602246320809593,2030-07,843
514,3561542201927874,2029-06,613
515,4936076779343671458,2025-03,547
516,560222016671061589,2027-12,91
517,5602247379241415,2030-04,268
518,4844773306304605,2028-07,981
519,3575914939617545,2030-02,575
520,3564171495068406,2027-11,143
521,3537811573994221,2030-10,656
522,4026424814627802,2027-12,543
523,3540636992273922,2029-06,923
524,6331106792003409677,2030-05,969
525,6379527855510816,2025-09,883
526,5436828470362002,2025-02,343
527,372580246958889,2029-07,768
528,5108752270567296,2028-02,377
529,3551144237282291,2028-05,320
530,201820435109507,2030-03,583
531,5100141520547019,2029-06,247
532,201435670367130,2029-10,421
533,5525109197642287,2029-03,583
534,6709565421919223169,2030-10,678
535,3583246059940401,2028-09,739
536,374283177584356,2024-12,899
537,3528196613480535,2025-08,346
538,3585685930470807,2028-05,925
539,4643133227226,2026-01,21
540,201889911018995,2027-05,371
541,5602255890904460,2026-06,454
542,30061160258196,2029-07,61
543,3535119881344846,2030-08,266
544,67093158980036720,2028-11,709
545,3528538089237263,2030-02,500
546,4405092912667144,2028-04,70
547,3530351565571841,2025-12,875
548,5602228571803855,2030-08,193
549,3554152522964843,2025-11,33
550,50206556766505992,2028-10,16
551,6771698005359729,2029-12,247
552,3535993051066243,2030-01,902
553,3565550477435965,2027-04,663
554,30126795997706,2025-10,684
555,6759807781892895470,2030-04,347
556,3547769757746445,2025-11,294
557,3534819196043923,2030-02,562
558,3534575934302688,2030-01,630
559,3531582155779357,2027-02,354
560,3555351372915439,2027-08,573
561,3563568299583061,2028-11,726
562,3547518687659909,2028-05,724
563,5100135506092669,2024-11,173
564,5641828405062215,2024-11,859
565,374622151553798,2027-03,184
566,3566388653207596,2025-04,996
567,67626183533906977,2027-03,132
568,5505160314522948,2027-08,258
569,5202852207298273,2028-05,421
570,3549199812061887,2028-07,592
571,3565928011196584,2026-08,455
572,3561194575094574,2029-08,357
573,5002355385674564,2026-10,382
574,56022320540532742,2027-07,349
575,4041598937472,2026-07,667
576,5561589881677589,2026-04,886
577,3562968334457944,2024-11,991
578,503808640679317230,2027-05,679
579,3576113910332971,2025-12,489
580,5569042092145824,2026-05,561
581,374283631450806,2025-08,676
582,5590303997007524,2027-07,563
583,67612072222652776,2027-05,634
584,30353325619903,2027-08,183
585,3573509770112820,2026-12,737
586,6334999026725663681,2028-07,631
587,201805891848748,2026-03,222
588,337941762303799,2029-05,289
589,30040175028570,2026-01,675
590,5602236166243049,2026-10,269
591,4041596439789751,2029-04,800
592,201593246065008,2030-04,661
593,6389007945577123,2026-03,301
594,3559526783161337,2028-01,715
595,50389170585078758,2030-01,147
596,3563436692313124,2026-12,118
597,6382608490788101,2030-10,310
598,3557719859573061,2029-10,830
599,3569115383771642,2026-04,378
600,4903335742944473,2029-12,253
601,374283865341358,2025-04,694
602,5583652171689641,2028-12,893
603,3562243553454398,2027-07,544
604,3535202879785954,2026-03,667
605,3581366363607421,2025-02,830
606,5581882034973104,2029-09,403
607,5641825458419136,2025-03,146
608,6759794841440751,2030-04,117
609,3576196242625212,2030-01,676
610,6333302599713394273,2029-07,443
611,30383698711250,2025-08,288
612,0604984406038836795,2029-10,636
613,502040630061899473,2025-08,40
614,3560558681879279,2025-08,880
615,4026958101659648,2026-04,183
616,3529152488876421,2028-11,925
617,3529357493944714,2025-08,456
618,3560730594282806,2026-07,986
619,5010126139405625,2028-06,174
620,337941587148999,2027-03,13
621,633340814362979784,2025-06,13
622,5512119059395564,2025-11,137
623,5602225834661526,2030-02,678
624,5018095572632363710,2026-07,219
625,5007666419515358,2025-04,391
626,3581586596456672,2027-03,190
627,4041596351915822,2027-06,236
628,30387571075584,2029-03,151
629,58932411837927144,2029-12,574
630,6763246339745693815,2026-01,190
631,374283670673672,2030-10,116
632,201973106403376,2026-07,788
633,3577238302088219,2029-10,210
634,6304283649133412,2025-08,779
635,5893448586934105900,2029-12,456
636,30370931779350,2028-12,741
637,6390288649792930,2024-11,980
638,56107804869599562,2030-06,789
639,5100176921137770,2024-12,959
640,3589618984162299,2030-05,563
641,4041592565790,2029-07,375
642,30136381094347,2030-09,182
643,3541413660649265,2025-03,298
644,3586174284062451,2025-10,495
645,4508565449967109,2027-03,847
646,3553165220911867,2026-03,580
647,374622492466031,2030-10,692
648,36642485369570,2029-07,371
649,6331103992991008746,2029-04,216
650,5002357990684889,2027-08,544
651,564182033879724140,2026-10,401
652,5610907651044908,2027-08,774
653,3541875875022787,2027-06,230
654,6304055860512380883,2026-06,69
655,3549201555985411,2027-12,255
656,3531622663590548,2026-05,561
657,3555424198606480,2027-04,127
658,201432249289697,2028-03,640
659,3589439409040584,2026-09,885
660,3574601050042337,2029-01,496
661,3588859529413661,2029-07,425
662,3542592931921626,2026-02,309
663,201605769390686,2027-06,490
664,201471373667336,2027-06,760
665,4017951883370,2029-12,120
666,3539841482093441,2027-06,149
667,3580981914972982,2027-02,34
668,5410590783261848,2025-07,495
669,4911078131543528,2025-12,752
670,201555699361341,2028-08,678
671,5602224651958586,2027-03,853
672,4936551747759003767,2026-06,216
673,5007668532724172,2027-05,788
674,3543386735365695,2026-12,175
675,374288447129676,2029-07,96
676,3532784085438760,2030-03,140
677,36766832110765,2026-11,497
678,5602215198459377,2028-07,52
679,3585388158156956,2029-10,344
680,5610079143320732063,2025-07,973
681,67620813892193066,2029-01,350
682,3565054409568829,2028-09,766
683,3532035406083235,2027-11,507
684,30259310069261,2029-04,951
685,5610807431877983,2028-11,120
686,5559147196554276,2028-02,310
687,3587751294834497,2028-06,582
688,3544745537187020,2027-01,919
689,201696284157213,2026-04,210
690,3585573841014577,2025-06,911
691,56022141335747091,2026-06,262
692,3554659055090051,2030-01,290
693,676171229717404110,2027-06,205
694,6375616543621103,2026-05,931
695,3580457365624760,2026-02,208
696,3589925617991824,2030-03,495
697,3576990715883674,2030-06,722
698,4372017480723317,2029-09,60
699,4041594417680639,2028-11,828
700,3568909865396469,2025-04,52
701,5602227030621874,2029-08,65
702,201787139405350,2025-04,585
703,3556298308002874,2028-07,496
704,633110559183354158,2026-02,691
705,677187224107767176,2029-05,693
706,633423836814819680,2029-11,220
707,3558996807946966,2029-03,512
708,6759617810544367081,2027-03,162
709,4175000115613391,2025-06,346
710,3583931048686807,2030-07,860
711,3569805850282301,2029-11,772
712,30208559689792,2026-12,251
713,3550310734663660,2028-11,729
714,3545351116344915,2026-05,689
715,3587765746637191,2030-06,911
716,3576957959597377,2027-02,888
717,3587106420882508,2029-08,788
718,3539131520276392,2029-02,292
719,3568878482493548,2025-10,106
720,201688990963877,2028-12,589
721,3582806438365827,2027-11,827
722,5002353401407960,2029-06,872
723,36514456937646,2029-04,740
724,502096098904131020,2028-02,906
725,3589052611800644,2027-01,714
726,3585616977411313,2025-07,899
727,5048376132222123,2024-11,622
728,3565254777380183,2029-01,860
729,3551281316575458,2026-07,707
730,3547797039057877,2025-03,881
731,30187560833567,2029-10,647
732,3535912132345780,2027-10,245
733,374622241684371,2030-08,194
734,3540470089595488,2026-05,904
735,5602254695950471,2029-10,259
736,3557826365502144,2026-07,463
737,6334198163110164196,2027-07,127
738,56022337347839187,2027-08,847
739,4041377374392442,2029-03,604
740,3569840741490342,2026-07,540
741,493668784697208386,2029-11,974
742,374288815095475,2029-06,598
743,5602228830757116,2028-08,283
744,5641822295630675831,2025-01,397
745,67069342752110174,2029-04,63
746,3566941651472602,2030-05,738
747,67065979214526234,2030-08,299
748,374288031711095,2030-10,9
749,3572318261533036,2027-03,759
750,30286812947595,2030-02,705
751,3560605325922245,2028-08,852
752,201888219425589,2030-05,8
753,3543388476955189,2025-07,163
754,3573668356192752,2026-11,521
755,3577433580785236,2025-05,822
756,5602216491160340,2027-05,337
757,201727369190397,2027-05,519
758,3563335792602883,2025-06,878
759,3535021479338679,2026-01,331
760,3582624636249317,2025-05,931
761,6706295846270635,2027-09,656
762,6389885230320535,2028-05,480
763,5610613597536961,2026-02,551
764,670986491030407570,2029-01,486
765,3552430446927977,2029-07,167
766,5100170731877543,2029-08,317
767,3572037817533817,2027-11,708
768,3568678147350301,2028-10,786
769,3546670525379140,2030-08,23
770,3537672799946316,2026-11,824
771,6763514781645365,2025-10,21
772,5100149558637941,2027-10,630
773,4041599474665,2028-09,866
774,5893662814291964902,2029-08,384
775,6759590984243362734,2028-04,322
776,3584305129006665,2028-06,221
777,5100149776929344,2025-04,123
778,4911008527995997309,2029-04,755
779,30417975015124,2027-09,97
780,5496101052571292,2027-09,451
781,3582900837462861,2027-06,570
782,5602237489901602,2030-07,541
783,63046946395774332,2026-03,178
784,5100149107133301,2026-12,561
785,6334353842565178923,2028-02,550
786,3585041738345777,2029-11,423
787,3565694553136764,2028-02,518
788,5108755980970460,2026-11,533
789,56101633166209344,2028-01,14
790,5602243081782093,2025-07,637
791,3539103469358507,2028-04,733
792,6386713209426856,2026-07,334
793,5100131710628299,2027-12,925
794,560224152121435806,2028-09,610
795,201620650134267,2030-05,441
796,3548206355065877,2027-05,309
797,4844231616373281,2029-09,185
798,3585030898995182,2029-02,789
799,3542236869566066,2029-06,687
800,6759553627026014,2027-06,187
801,3563626789414716,2027-12,8
802,3537295706273010,2026-08,315
803,6304290158941721,2026-10,926
804,3541358498524455,2028-06,363
805,4405977404523518,2029-02,90
806,3579591703020753,2027-11,93
807,5108756749270267,2025-03,315
808,30588547304145,2029-09,216
809,060434114007541815,2029-07,421
810,30355852715277,2028-01,10
811,4026027616420373,2027-04,849
812,3577291974545115,2030-08,87
813,30043677095204,2028-01,412
814,5100133205943084,2028-07,46
815,5602227556778652,2027-05,299
816,6333712709533082,2030-01,399
817,342996565373509,2029-05,267
818,5010128249025376,2026-03,141
819,3558044794881720,2029-04,518
820,4175001887231271,2030-09,741
821,3582509166120980,2028-05,40
822,6371290815568402,2025-11,631
823,341735159066009,2030-01,333
824,670974141939983114,2028-06,572
825,374288682711543,2025-06,723
826,560225440314243866,2029-09,46
827,3585521450588274,2027-08,237
828,201638859402988,2027-06,37
829,4405721775905841,2026-01,749
830,374288494035925,2027-06,931
831,3573291385842162,2025-10,141
832,4844945534754625,2025-10,586
833,3530976841829108,2026-01,141
834,3548856381541455,2026-09,459
835,36240780676359,2027-06,575
836,6386356045567945,2030-10,312
837,675995789596602759,2024-11,824
838,337941378919459,2028-02,777
839,374283400618971,2024-12,466
840,3556870169773676,2028-12,283
841,3556333901671807,2028-01,842
842,3559719816268704,2026-05,14
843,6395471382262999,2029-12,104
844,560225464812720944,2025-11,711
845,589388876967984458,2030-06,643
846,3564464052031226,2028-01,50
847,6706895598090594455,2025-03,473
848,4905651270304359018,2028-09,744
849,3545513085274999,2026-12,883
850,5038546775085266,2025-01,42
851,6333309803788878845,2028-09,360
852,3578755931997568,2027-06,172
853,3543691014442838,2028-08,510
854,5100144453960795,2027-03,240
855,3540855917759308,2028-09,393
856,4913141882550981,2030-05,275
857,3571704629509993,2030-04,763
858,3562396133831210,2025-12,555
859,30528764107656,2030-04,446
860,3561739712886181,2029-07,653
861,4905249058437826543,2029-03,445
862,3530723296113582,2026-09,762
863,3568398655174692,2029-06,382
864,3574901373434546,2030-04,170
865,4508563073842797,2027-01,661
866,374101241096969,2025-02,189
867,3536326158349932,2030-08,691
868,67639660679706530,2027-12,508
869,3561089339813691,2029-09,773
870,3575556560719023,2029-12,157
871,5602220908602191,2029-12,286
872,3538290040177612,2029-03,439
873,3564475611721073,2028-08,513
874,3557584704262215,2027-08,798
875,3528647043936637,2027-05,225
876,5100148506421077,2027-08,917
877,3561620368303632,2027-12,97
